pref,year,force.pop,unemployed,mini.wage
北海道,1997,2891,107.25,NA
北海道,1998,2855,137,NA
北海道,1999,2850,142.5,NA
北海道,2000,2892,159.25,NA
北海道,2001,2886,167.5,NA
北海道,2002,2837,171.75,637
北海道,2003,2843,186,637
北海道,2004,2808,162,638
北海道,2005,2813,150,641
北海道,2006,2779,150,644
北海道,2007,2780,142,654
北海道,2008,2764,137.25,667
北海道,2009,2748,146,678
北海道,2010,2737,141.5,691
北海道,2011,2703,139.25,705
北海道,2012,2697,140.25,719
北海道,2013,2673,121.5,734
北海道,2014,2655,108.5,748
北海道,2015,2650,91.75,764
北海道,2016,2662,95.25,786
北海道,2017,2665,88.5,810
北海道,2018,2715,79.75,835
青森県,1997,748,28.75,NA
青森県,1998,752,35.75,NA
青森県,1999,757,39.5,NA
青森県,2000,754,40,NA
青森県,2001,751,43.25,NA
青森県,2002,744,48,605
青森県,2003,736,47.5,605
青森県,2004,731,45.25,606
青森県,2005,730,43.5,608
青森県,2006,727,42,610
青森県,2007,720,40.25,619
青森県,2008,709,41.75,630
青森県,2009,704,47.75,633
青森県,2010,691,44.5,645
青森県,2011,682,42,647
青森県,2012,679,36,654
青森県,2013,677,32.75,665
青森県,2014,674,28.25,679
青森県,2015,674,28.25,695
青森県,2016,673,25,716
青森県,2017,671,21.75,738
青森県,2018,672,19.25,762
岩手県,1997,764,18.25,NA
岩手県,1998,763,23.25,NA
岩手県,1999,775,27.25,NA
岩手県,2000,784,28.25,NA
岩手県,2001,774,33.25,NA
岩手県,2002,742,39.25,605
岩手県,2003,714,37.25,605
岩手県,2004,697,34.75,606
岩手県,2005,699,32.75,608
岩手県,2006,714,31.25,610
岩手県,2007,712,28.75,619
岩手県,2008,695,29.25,628
岩手県,2009,689,38.75,631
岩手県,2010,681,35.25,644
岩手県,2011,666,33.5,645
岩手県,2012,662,26,653
岩手県,2013,667,22.25,665
岩手県,2014,653,19.25,678
岩手県,2015,657,19,695
岩手県,2016,670,16.25,716
岩手県,2017,669,13.5,738
岩手県,2018,680,12.5,762
宮城県,1997,1211,37.75,NA
宮城県,1998,1229,50.75,NA
宮城県,1999,1242,64.25,NA
宮城県,2000,1240,62.25,NA
宮城県,2001,1241,70.25,NA
宮城県,2002,1237,77.5,617
宮城県,2003,1226,76.75,617
宮城県,2004,1216,68.75,619
宮城県,2005,1212,60.5,623
宮城県,2006,1211,59.75,628
宮城県,2007,1206,57.75,639
宮城県,2008,1205,59.25,653
宮城県,2009,1213,76,662
宮城県,2010,1202,69.5,674
宮城県,2011,1185,66.75,675
宮城県,2012,1169,56.25,685
宮城県,2013,1191,49.5,696
宮城県,2014,1207,44.5,710
宮城県,2015,1198,44.5,726
宮城県,2016,1198,38.75,748
宮城県,2017,1223,34.75,772
宮城県,2018,1242,32.5,798
秋田県,1997,619,20,NA
秋田県,1998,604,21.75,NA
秋田県,1999,604,24.25,NA
秋田県,2000,615,26.25,NA
秋田県,2001,612,32,NA
